iter	Accuracy	MultiClass
0	0.2875191746	2.154473725
1	0.2905009604	2.116363041
2	0.2903280797	2.085135984
3	0.2908306256	2.053949916
4	0.3059674082	2.023547408
5	0.322832464	1.99395827
6	0.3271650338	1.969619938
7	0.326458152	1.94655012
8	0.3272329015	1.927618117
9	0.328989467	1.90672622
10	0.3288880617	1.889520364
11	0.3290410017	1.877834462
12	0.3289681571	1.863668812
13	0.3293649275	1.850346104
14	0.329692002	1.837479654
15	0.3316816318	1.824981127
16	0.3322515203	1.813196571
17	0.3322516976	1.801646806
18	0.3326690748	1.79108094
19	0.3321189289	1.780801752
20	0.3346984204	1.770630013
21	0.3351333738	1.762431217
22	0.3371265519	1.753766338
23	0.3373469679	1.746338147
24	0.3369315387	1.740463601
25	0.3380505798	1.733968413
26	0.3405330624	1.726804418
27	0.340333387	1.720496058
28	0.3391973922	1.715464861
29	0.3401622923	1.709223668
30	0.3413167771	1.703321366
31	0.3417819113	1.69830574
32	0.3426811602	1.692904089
33	0.3428960448	1.687741855
34	0.344424772	1.683379241
35	0.3452103661	1.679526255
36	0.3455758294	1.67622903
37	0.3465624529	1.671576756
38	0.34741405	1.66774066
39	0.3476408556	1.664729635
40	0.3479035283	1.661056599
41	0.348398451	1.657634804
42	0.3503315576	1.654126172
43	0.3512454588	1.651435193
44	0.351746933	1.647174451
45	0.3530498888	1.643310041
46	0.353652906	1.64128411
47	0.3561115794	1.637668939
48	0.3557836651	1.636500785
49	0.3569040391	1.633947134
50	0.3583339611	1.630849239
51	0.3584161692	1.627348009
52	0.3585980007	1.624855758
53	0.3595309514	1.622578948
54	0.3603494442	1.619325809
55	0.3611735099	1.61667513
56	0.3627461753	1.614218086
57	0.3634447026	1.612314271
58	0.3639786024	1.610164683
59	0.3641148197	1.608099632
60	0.3646236528	1.605896579
61	0.3650496108	1.604558509
62	0.3653199801	1.602901871
63	0.3650952054	1.600944836
64	0.365277916	1.599818907
65	0.3660350853	1.597733817
66	0.366207846	1.596235322
67	0.366692367	1.595112042
68	0.3669423784	1.594136612
69	0.3675012536	1.592517232
70	0.3676766348	1.591201683
71	0.3680884234	1.589637044
72	0.3682201449	1.587866931
73	0.3686493062	1.585451931
74	0.3691412358	1.584013054
75	0.3693226911	1.582432551
76	0.3695181543	1.580676698
77	0.3697230667	1.578472885
78	0.3699197017	1.577215392
79	0.369916962	1.5770746
80	0.3701090257	1.576364601
81	0.3700084556	1.576188953
82	0.3700674022	1.574904784
83	0.3701442124	1.573358029
84	0.3706300693	1.571114227
85	0.3711343083	1.569237721
86	0.3714315386	1.567755441
87	0.3716469663	1.566365287
88	0.3720696795	1.564712638
89	0.3721504282	1.563394408
90	0.3725263551	1.562362568
91	0.372915931	1.561547951
92	0.3733246061	1.560583499
93	0.3734634018	1.559409295
94	0.3736671105	1.558041722
95	0.3735367707	1.556719134
96	0.3738595811	1.555459158
97	0.3738790526	1.554871507
98	0.3740344043	1.554318516
99	0.3740262933	1.554017122
100	0.3750674026	1.551795157
101	0.3755421124	1.550702251
102	0.375708951	1.549586405
103	0.376055129	1.548469159
104	0.3762254723	1.547226327
105	0.3763312585	1.546436065
106	0.3771749177	1.54535073
107	0.3769233314	1.544463366
108	0.3770075804	1.54343097
109	0.3771520341	1.542604407
110	0.3772423528	1.541194319
111	0.3774454369	1.540529092
112	0.3773183862	1.539921131
113	0.3777903537	1.539285996
114	0.3779817116	1.537779129
115	0.3783581272	1.536687336
