iter	Passed	Remaining
0	181	72291
1	342	68185
2	496	65725
3	655	64865
4	823	65042
5	973	63949
6	1131	63532
7	1285	62981
8	1428	62059
9	1586	61877
10	1732	61254
11	1813	58652
12	1964	58482
13	2117	58388
14	2269	58254
15	2418	58050
16	2575	58035
17	2713	57594
18	2886	57878
19	3041	57797
20	3193	57640
21	3349	57545
22	3503	57422
23	3662	57372
24	3817	57266
25	3947	56787
26	4106	56726
27	4257	56564
28	4416	56495
29	4570	56364
30	4728	56283
31	4871	56019
32	5035	55998
33	5189	55862
34	5345	55746
35	5501	55626
36	5640	55342
37	5788	55142
38	5940	54986
39	6089	54807
40	6238	54624
41	6397	54534
42	6555	54429
43	6738	54521
44	6885	54315
45	7046	54226
46	7191	54010
47	7332	53773
48	7428	53214
49	7577	53042
50	7736	52944
51	7883	52758
52	8038	52631
53	8205	52576
54	8348	52365
55	8499	52209
56	8651	52059
57	8816	51987
58	8969	51840
59	9137	51779
60	9281	51582
61	9422	51366
62	9568	51186
63	9714	50999
64	9841	50723
65	10012	50668
66	10170	50548
67	10329	50433
68	10488	50314
69	10637	50146
70	10780	49954
71	10937	49825
72	11078	49626
73	11232	49481
74	11393	49371
75	11551	49246
76	11723	49179
77	11873	49015
78	12032	48890
79	12093	48373
80	12237	48195
81	12312	47749
82	12455	47570
83	12610	47438
84	12759	47284
85	12915	47157
86	13092	47102
87	13240	46944
88	13385	46775
89	13542	46646
90	13683	46464
91	13822	46274
92	13959	46082
93	14112	45942
94	14260	45784
95	14408	45626
96	14559	45478
97	14661	45181
98	14768	44901
99	14844	44533
100	14992	44383
101	15151	44264
102	15291	44091
103	15433	43925
104	15609	43854
105	15801	43826
106	15956	43692
107	16101	43532
108	16237	43350
109	16395	43224
110	16538	43060
111	16687	42909
112	16837	42763
113	16996	42641
114	17136	42469
115	17287	42324
116	17440	42184
117	17599	42060
118	17758	41934
119	17919	41812
120	18070	41666
121	18222	41524
122	18371	41372
123	18541	41269
124	18724	41194
125	18888	41075
126	19045	40939
127	19219	40840
128	19399	40754
129	19550	40604
130	19708	40469
131	19876	40355
132	20028	40208
133	20192	40083
134	20360	39967
135	20524	39841
136	20590	39528
137	20754	39403
138	20919	39281
139	21091	39169
140	21276	39082
141	21419	38916
142	21562	38752
143	21731	38634
144	21895	38506
145	22046	38354
146	22163	38145
147	22220	37835
148	22368	37681
149	22527	37545
150	22688	37413
151	22847	37277
152	22972	37086
153	23088	36882
154	23252	36754
155	23402	36603
156	23551	36452
157	23696	36294
158	23844	36141
159	23985	35978
160	24137	35831
161	24293	35690
162	24435	35529
163	24595	35393
164	24758	35262
165	24908	35112
166	24998	34878
167	25156	34739
168	25299	34581
169	25440	34420
170	25585	34264
171	25757	34143
172	25910	33998
173	26044	33827
174	26197	33683
175	26344	33528
176	26476	33357
177	26624	33205
178	26768	33049
179	26911	32891
180	27062	32743
181	27206	32588
182	27341	32421
183	27491	32273
184	27636	32117
185	27771	31952
186	27919	31800
187	28067	31650
188	28219	31503
189	28368	31354
190	28513	31200
191	28632	31018
192	28768	30855
193	28923	30712
194	29089	30580
195	29177	30368
196	29318	30211
197	29464	30059
198	29612	29910
199	29752	29752
200	29836	29539
201	29990	29396
202	30135	29244
203	30281	29094
204	30424	28939
205	30565	28785
206	30702	28626
207	30857	28483
208	30998	28328
209	31152	28185
210	31301	28037
211	31452	27892
212	31597	27740
213	31740	27587
214	31894	27444
215	32001	27260
216	32130	27096
217	32261	26933
218	32347	26735
219	32481	26575
220	32623	26423
221	32772	26277
222	32930	26137
223	33087	25997
224	33244	25857
225	33392	25709
226	33501	25532
227	33651	25386
228	33814	25249
229	33975	25112
230	34129	24968
231	34278	24822
232	34417	24668
233	34576	24528
234	34741	24393
235	34894	24248
236	35038	24097
237	35182	23947
238	35336	23804
239	35483	23655
240	35646	23517
241	35803	23375
242	35963	23235
243	36126	23096
244	36269	22946
245	36421	22800
246	36575	22656
247	36721	22506
248	36865	22356
249	37010	22206
250	37154	22055
251	37292	21901
252	37444	21756
253	37587	21605
254	37731	21455
255	37880	21307
256	38027	21158
257	38170	21008
258	38324	20863
259	38468	20713
260	38608	20561
261	38756	20413
262	38893	20259
263	39030	20106
264	39181	19960
265	39324	19810
266	39467	19659
267	39628	19518
268	39793	19378
269	39952	19236
270	40092	19084
271	40241	18937
272	40385	18787
273	40542	18643
274	40695	18497
275	40847	18351
276	41003	18207
277	41144	18056
278	41305	17913
279	41449	17764
280	41597	17616
281	41747	17469
282	41918	17330
283	42087	17190
284	42234	17042
285	42379	16892
286	42529	16745
287	42677	16596
288	42822	16447
289	42968	16298
290	43114	16149
291	43262	16001
292	43412	15853
293	43544	15699
294	43679	15547
295	43831	15400
296	43979	15252
297	44123	15102
298	44271	14954
299	44417	14805
300	44559	14655
301	44712	14509
302	44859	14361
303	45005	14212
304	45147	14062
305	45294	13913
306	45447	13767
307	45590	13617
308	45732	13468
309	45863	13315
310	46009	13166
311	46159	13019
312	46306	12871
313	46455	12723
314	46611	12577
315	46755	12428
316	46892	12277
317	47044	12130
318	47183	11980
319	47326	11831
320	47476	11684
321	47636	11539
322	47786	11391
323	47937	11244
324	48080	11095
325	48233	10948
326	48389	10802
327	48536	10654
328	48679	10505
329	48828	10357
330	48972	10208
331	49120	10060
332	49269	9913
333	49420	9765
334	49567	9617
335	49719	9470
336	49860	9321
337	50007	9172
338	50142	9022
339	50280	8872
340	50427	8725
341	50575	8577
342	50714	8427
343	50860	8279
344	51015	8132
345	51154	7983
346	51301	7835
347	51452	7688
348	51600	7540
349	51742	7391
350	51914	7247
351	52070	7100
352	52219	6952
353	52369	6805
354	52531	6658
355	52676	6510
356	52825	6362
357	52983	6215
358	53134	6068
359	53278	5919
360	53432	5772
361	53583	5624
362	53731	5476
363	53879	5328
364	54019	5179
365	54170	5032
366	54305	4883
367	54453	4735
368	54609	4587
369	54753	4439
370	54909	4292
371	55049	4143
372	55182	3994
373	55332	3846
374	55478	3698
375	55615	3549
376	55762	3401
377	55905	3253
378	56048	3105
379	56212	2958
380	56372	2811
381	56534	2663
382	56683	2515
383	56840	2368
384	56990	2220
385	57124	2071
386	57277	1924
387	57424	1776
388	57572	1628
389	57723	1480
390	57861	1331
391	58023	1184
392	58167	1036
393	58322	888
394	58460	740
395	58587	591
396	58733	443
397	58874	295
398	59026	147
399	59155	0
